index,tax,ptratio,b,lstat,medv
1,296,15.3,396.9,4.98,24
2,242,17.8,396.9,9.14,21.6
3,242,17.8,392.83,4.03,34.7
4,222,18.7,394.63,2.94,33.4
5,222,18.7,396.9,5.33,36.2
6,222,18.7,394.12,5.21,28.7
7,311,15.2,395.6,12.43,22.9
8,311,15.2,396.9,19.15,27.1
9,311,15.2,386.63,29.93,16.5
10,311,15.2,386.71,17.1,18.9
11,311,15.2,392.52,20.45,15
12,311,15.2,396.9,13.27,18.9
13,311,15.2,390.5,15.71,21.7
14,307,21,396.9,8.26,20.4
15,307,21,380.02,10.26,18.2
16,307,21,395.62,8.47,19.9
17,307,21,386.85,6.58,23.1
18,307,21,386.75,14.67,17.5
19,307,21,288.99,11.69,20.2
20,307,21,390.95,11.28,18.2
21,307,21,376.57,21.02,13.6
22,307,21,392.53,13.83,19.6
23,307,21,396.9,18.72,15.2
24,307,21,394.54,19.88,14.5
25,307,21,394.33,16.3,15.6
26,307,21,303.42,16.51,13.9
27,307,21,376.88,14.81,16.6
28,307,21,306.38,17.28,14.8
29,307,21,387.94,12.8,18.4
30,307,21,380.23,11.98,21
31,307,21,360.17,22.6,12.7
32,307,21,376.73,13.04,14.5
33,307,21,232.6,27.71,13.2
34,307,21,358.77,18.35,13.1
35,307,21,248.31,20.34,13.5
36,279,19.2,396.9,9.68,18.9
37,279,19.2,377.56,11.41,20
38,279,19.2,396.9,8.77,21
39,279,19.2,393.43,10.13,24.7
40,252,18.3,395.63,4.32,30.8
41,252,18.3,395.62,1.98,34.9
42,233,17.9,385.41,4.84,26.6
43,233,17.9,383.37,5.81,25.3
44,233,17.9,394.46,7.44,24.7
45,233,17.9,389.39,9.55,21.2
46,233,17.9,396.9,10.21,19.3
47,233,17.9,396.9,14.15,20
48,233,17.9,392.74,18.8,16.6
49,233,17.9,396.9,30.81,14.4
50,233,17.9,396.9,16.2,19.4
51,243,16.8,395.56,13.45,19.7
52,243,16.8,393.97,9.43,20.5
53,243,16.8,396.9,5.28,25
54,243,16.8,396.9,8.43,23.4
55,469,21.1,396.9,14.8,18.9
56,226,17.9,395.93,4.81,35.4
57,313,17.3,396.9,5.77,24.7
58,256,15.1,392.9,3.95,31.6
59,284,19.7,390.68,6.86,23.3
60,284,19.7,396.9,9.22,19.6
61,284,19.7,395.11,13.15,18.7
62,284,19.7,378.08,14.44,16
63,284,19.7,396.9,6.73,22.2
64,284,19.7,395.58,9.5,25
65,216,18.6,393.24,8.05,33
66,337,16.1,396.9,4.67,23.5
67,337,16.1,396.9,10.24,19.4
68,345,18.9,396.21,8.1,22
69,345,18.9,396.9,13.09,17.4
70,345,18.9,396.9,8.79,20.9
71,305,19.2,383.73,6.72,24.2
72,305,19.2,376.94,9.88,21.7
73,305,19.2,390.91,5.52,22.8
74,305,19.2,377.17,7.54,23.4
75,398,18.7,394.92,6.78,24.1
76,398,18.7,383.23,8.94,21.4
77,398,18.7,373.66,11.97,20
78,398,18.7,386.96,10.27,20.8
79,398,18.7,386.4,12.34,21.2
80,398,18.7,396.06,9.1,20.3
81,281,19,396.9,5.29,28
82,281,19,395.63,7.22,23.9
83,281,19,396.9,6.72,24.8
84,281,19,390.64,7.51,22.9
85,247,18.5,396.9,9.62,23.9
86,247,18.5,392.3,6.53,26.6
87,247,18.5,395.99,12.86,22.5
88,247,18.5,395.15,8.44,22.2
89,270,17.8,396.9,5.5,23.6
90,270,17.8,396.06,5.7,28.7
91,270,17.8,392.18,8.81,22.6
92,270,17.8,393.55,8.2,22
93,270,18.2,395.01,8.16,22.9
94,270,18.2,396.33,6.21,25
95,270,18.2,396.9,10.59,20.6
96,276,18,357.98,6.65,28.4
97,276,18,391.83,11.34,21.4
98,276,18,396.9,4.21,38.7
99,276,18,393.53,3.57,43.8
100,276,18,396.9,6.19,33.2
101,384,20.9,394.76,9.42,27.5
102,384,20.9,395.58,7.67,26.5
103,384,20.9,70.8,10.63,18.6
104,384,20.9,394.47,13.44,19.3
105,384,20.9,392.69,12.33,20.1
106,384,20.9,394.05,16.47,19.5
107,384,20.9,395.67,18.66,19.5
108,384,20.9,387.69,14.09,20.4
109,384,20.9,395.24,12.27,19.8
110,384,20.9,391.23,15.55,19.4
111,384,20.9,393.49,13,21.7
112,432,17.8,395.59,10.16,22.8
113,432,17.8,394.95,16.21,18.8
114,432,17.8,396.9,17.09,18.7
115,432,17.8,388.74,10.45,18.5
116,432,17.8,344.91,15.76,18.3
117,432,17.8,393.3,12.04,21.2
118,432,17.8,394.51,10.3,19.2
119,432,17.8,338.63,15.37,20.4
120,432,17.8,391.5,13.61,19.3
121,188,19.1,389.15,14.37,22
122,188,19.1,377.67,14.27,20.3
123,188,19.1,378.09,17.93,20.5
124,188,19.1,370.31,25.41,17.3
125,188,19.1,379.38,17.58,18.8
126,188,19.1,385.02,14.81,21.4
127,188,19.1,359.29,27.26,15.7
128,437,21.2,392.11,17.19,16.2
129,437,21.2,396.9,15.39,18
130,437,21.2,396.9,18.34,14.3
131,437,21.2,395.04,12.6,19.2
132,437,21.2,396.9,12.26,19.6
133,437,21.2,385.76,11.12,23
134,437,21.2,388.69,15.03,18.4
135,437,21.2,262.76,17.31,15.6
136,437,21.2,394.67,16.96,18.1
137,437,21.2,378.25,16.9,17.4
138,437,21.2,394.08,14.59,17.1
139,437,21.2,392.04,21.32,13.3
140,437,21.2,396.9,18.46,17.8
141,437,21.2,388.08,24.16,14
142,437,21.2,396.9,34.41,14.4
143,403,14.7,396.9,26.82,13.4
144,403,14.7,396.9,26.42,15.6
145,403,14.7,396.9,29.29,11.8
146,403,14.7,172.91,27.8,13.8
