model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 5 Series,2019.0,Semi-Auto,9165.0,Petrol,145.0,50.4,2.0,23990
 X5,2019.0,Automatic,6650.0,Diesel,145.0,37.7,3.0,46756
 5 Series,2016.0,Automatic,64231.0,Diesel,145.0,53.3,3.0,14999
 i8,2019.0,Automatic,2799.0,,135.0,141.2,1.5,64750
 X5,2013.0,Automatic,63583.0,Diesel,200.0,45.6,3.0,20140
 5 Series,2014.0,Semi-Auto,35822.0,Diesel,165.0,,3.0,15498
 3 Series,2016.0,Automatic,52000.0,Diesel,30.0,64.2,2.0,14500
 1 Series,2019.0,Manual,10.0,Petrol,145.0,44.1,1.5,22490
 2 Series,2016.0,Manual,18840.0,Petrol,125.0,52.3,1.5,12306
 X5,2017.0,,11197.0,Diesel,,47.1,,35995
 X6,2019.0,Semi-Auto,2455.0,Diesel,145.0,34.9,3.0,55000
 1 Series,2016.0,Manual,30000.0,Diesel,30.0,62.8,2.0,14995
 4 Series,2019.0,Automatic,999.0,Petrol,145.0,45.6,,34590
 1 Series,2018.0,Automatic,9086.0,,145.0,37.2,1.5,14400
 5 Series,2019.0,Semi-Auto,7079.0,Diesel,145.0,65.7,2.0,26850
 3 Series,2017.0,Semi-Auto,26321.0,Diesel,,56.5,3.0,20991
 4 Series,2018.0,Semi-Auto,8524.0,Diesel,150.0,,3.0,23998
 2 Series,2018.0,Automatic,29590.0,Petrol,,53.3,1.5,14157
 X3,2013.0,Automatic,63505.0,Diesel,165.0,50.4,2.0,13100
 3 Series,2015.0,Manual,,Diesel,125.0,,2.0,14000
 3 Series,2019.0,Automatic,123.0,Petrol,145.0,41.5,,33610
 2 Series,2019.0,Manual,,Petrol,145.0,42.8,1.5,21000
 2 Series,2017.0,Semi-Auto,30330.0,Diesel,145.0,64.2,2.0,15998
 3 Series,2018.0,Semi-Auto,16452.0,Petrol,150.0,48.7,2.0,21495
 X5,2020.0,Semi-Auto,2000.0,Diesel,145.0,36.7,3.0,44875
 X2,2019.0,Semi-Auto,3412.0,,145.0,38.7,2.0,24543
 4 Series,2014.0,Semi-Auto,26973.0,Diesel,125.0,,2.0,15050
